Pais ;Individuo ;B.T;E.T;L.F;H.F;M.T;E;MA.E;M.F;M.P;MI.E;P.F;L
Panama;1;5.43;5.929;1210.1;3822.1;5.48;100.8;4.105;3531.4;90.8;1.544;3531.4;86
Panama;1;5.939;6.456;1185;3617.3;5.979;100;4.193;3273;90.5;1.594;3273;89
Panama;1;10.023;10.548;1210.1;3969.1;10.101;98.7;4.118;1636.5;86.6;1.895;1636.5;91
Panama;1;10.565;11.259;1344.5;3492.5;10.594;99.1;4.084;3186.9;89.8;1.49;3186.9;119
Panama;1;11.276;11.884;1075.6;3554.9;11.401;98.9;3.963;3100.8;88.9;1.508;3100.8;105
Panama;1;15.256;15.756;1496.8;3866.7;15.337;99.2;3.947;3186.9;87.2;1.804;3186.9;86
Panama;1;15.781;16.483;1344.5;3742;15.819;98.7;4.17;3186.9;90.5;1.4;3186.9;121
Panama;1;18.295;18.787;1372.1;3617.3;18.367;98.4;4.345;3273;86.8;1.327;3273;85
Panama;1;18.81;19.456;1372.1;3804.4;18.826;95;4.248;3273;84.3;1.659;3273;111
Panama;1;21.069;21.712;1185;3742;21.142;100.6;4.61;3445.3;90.5;1.783;3445.3;111
Panama;1;24.647;25.447;1247.3;3866.7;24.729;101.7;4.425;3445.3;89.5;1.681;3445.3;138
Panama;1;25.473;26.148;1247.3;3617.3;25.646;98.8;4.22;3100.8;91.1;1.401;3100.8;116
Panama;1;27.81;28.416;1344.5;3617.3;27.905;101.4;4.314;1636.5;90.7;1.978;1636.5;105
Panama;1;30.786;31.424;1247.3;3929.1;30.871;103.7;4.284;1636.5;92.2;1.564;1636.5;110
Panama;1;31.453;32.193;1185;3430.2;31.597;98.6;4.502;3186.9;89.4;1.638;3186.9;127
Panama;1;33.107;33.607;1309.7;3679.6;33.187;101.2;3.899;1636.5;91.3;1.567;1636.5;86
Panama;1;33.624;34.271;1309.7;3742;33.773;97.1;3.759;3186.9;83.5;1.533;3186.9;111
Panama;1;36.537;37.219;1496.8;3804.4;36.6;100.3;4.184;1636.5;89.2;1.8;1636.5;117
